ID	freq	lemma	PoS
6491	162	pinho	n
6501	162	bandeja	n
6511	162	medíocre	j
6521	161	vigília	n
6531	161	alcoólico	j
6541	161	hospedar	v
6551	160	recuo	n
6561	160	austero	j
6571	159	combatente	n
6581	159	penalti	n
6591	159	cearense	j
6601	158	terapêutico	j
6611	158	apêndice	n
6621	157	premiar	v
6631	157	recompensa	n
6641	156	vigia	n
6651	156	obediência	n
6661	156	elaborado	j
6671	156	árido	j
6681	155	reposição	n
6691	155	mensageiro	n
6701	155	juíza	n
6711	155	repor	v
6721	154	prolongamento	n
6731	154	beneficiário	n
6741	154	lamento	n
6751	153	dedicado	j
6761	153	escrava	n
6771	152	urina	n
6781	152	alentejano	j
6791	152	licenciamento	n
6801	152	ilhéu	n
6811	151	aludir	v
6821	151	galego	n
6831	151	aeronave	n
6841	150	escoamento	n
6851	150	fito	n
6861	149	senzala	n
6871	149	associativo	j
6881	149	alegação	n
6891	148	farejar	v
6901	148	baronesa	n
6911	148	propina	n
6921	147	calcanhar	n
6931	147	encarregado	n
6941	147	gentio	n
6951	146	penalidade	n
6961	146	ordenação	n
6971	146	maratona	n
6981	145	ortodoxa	n
6991	145	esofágico	j
7001	145	malícia	n
7011	145	conjunção	n
7021	144	percussão	n
7031	144	ingrato	j
7041	144	oco	j
7051	143	fuso	n
7061	143	extravagante	j
7071	143	reciclagem	n
7081	142	filiação	n
7091	142	mítico	j
7101	142	garimpeiro	n
7111	142	rima	n
7121	142	fã	n
7131	141	resignar	v
7141	141	ferroviário	j
7151	141	incompreensível	j
7161	140	gramado	n
7171	140	relvado	n
7181	140	inviabilizar	v
7191	139	concretamente	r
7201	139	fisicamente	r
7211	139	alisar	v
7221	138	indução	n
7231	138	guitarrista	n
7241	138	mosaico	n
7251	138	fraternidade	n
7261	137	desigual	j
7271	137	locomotiva	n
7281	137	cerro	n
7291	136	lealdade	n
7301	136	alcunha	n
7311	136	rogar	v
7321	135	nutrir	v
7331	135	fatigado	j
7341	135	calçar	v
7351	135	corrupto	j
7361	135	trave	n
7371	134	viragem	n
7381	134	herdeira	n
7391	134	operativo	j
7401	133	feiticeiro	n
7411	133	fosso	n
7421	133	olival	n
7431	133	habilitar	v
7441	133	caramba	i
7451	132	sobressair	v
7461	132	camarário	j
7471	132	afinar	v
7481	131	cinético	n
7491	131	penha	n
7501	131	asteróide	n
7511	131	superstição	n
7521	130	dezessete	m
7531	130	búlgaro	n
7541	129	enfermidade	n
7551	129	semifinal	n
7561	129	tomate	n
7571	129	acorrer	v
7581	128	cúbico	j
7591	128	lixeira	n
7601	128	zelar	v
7611	128	tear	n
7621	127	irremediável	j
7631	127	penedo	n
7641	126	resignado	n
7651	126	cilíndrico	j
7661	126	triplo	j
7671	126	mensalidade	n
7681	125	interpor	v
7691	125	furor	n
7701	125	maternidade	n
7711	125	castor	n
7721	124	tocantim	n
7731	124	bobina	n
7741	124	descolonização	n
7751	124	embalar	v
7761	123	meteorologia	n
7771	123	filial	n
7781	123	anulação	n
7791	123	romeno	j
7801	122	matinal	j
7811	122	bicheiro	n
7821	122	baga	n
7831	122	velhinho	j
7841	121	arrependimento	n
7851	121	submetido	n
7861	121	opinar	v
7871	121	martelar	v
7881	120	ex-secretário	n
7891	120	arfar	v
7901	120	podar	v
7911	119	matador	n
7921	119	ondular	v
7931	119	esponja	n
7941	119	trincheira	n
7951	118	jugoslavo	j
7961	118	turvo	j
7971	118	sobremesa	n
7981	118	memorial	n
7991	118	pentear	v
8001	117	soleira	n
8011	117	comparável	j
8021	117	soro	n
8031	117	obsceno	j
8041	116	cognitivo	j
8051	116	ml	n
8061	116	testador	n
8071	116	unitário	j
8081	115	desconforto	n
8091	115	ciclista	n
8101	115	souto	n
8111	115	represália	n
8121	115	condessa	n
8131	114	contentamento	n
8141	114	durão	j
8151	114	indiscutível	j
8161	113	turbulência	n
8171	113	unilateral	j
8181	113	prezar	v
8191	113	estampa	n
8201	113	académica	j
8211	112	exalar	v
8221	112	agitado	j
8231	112	embrulhado	n
8241	112	inapto	j
8251	112	insinuação	n
8261	111	lúdico	j
8271	111	sintagma	n
8281	111	sismo	n
8291	111	estigma	n
8301	110	amadurecer	v
8311	110	economizar	v
8321	110	oriundo	n
8331	110	comportamental	j
8341	109	cristalizar	v
8351	109	dispendioso	j
8361	109	labareda	n
8371	109	casaca	n
8381	109	magistratura	n
8391	109	curador	n
8401	109	segurado	n
8411	108	equipado	j
8421	108	amostragem	n
8431	108	infame	j
8441	108	hemorragia	n
8451	107	fragmentação	n
8461	107	regeneração	n
8471	107	cédula	n
8481	107	insurgir	v
8491	107	concílio	n
8501	106	renovável	j
8511	106	ventrículo	n
8521	106	florir	v
8531	106	premiado	n
8541	105	quartzo	n
8551	105	ramagem	n
8561	105	repugnar	v
8571	105	sinalizar	v
8581	105	visualizar	v
8591	105	escrivão	n
8601	105	nitidez	n
8611	104	ouvidor	n
8621	104	garçom	n
8631	104	directivo	j
8641	104	torrente	n
8651	104	mediana	n
8661	103	ferrão	n
8671	103	mediador	n
8681	103	flagelo	n
8691	103	tributação	n
8701	103	tatuagem	n
8711	102	brevemente	r
8721	102	pessimismo	n
8731	102	revés	n
8741	102	deterioração	n
8751	102	marrom	j
8761	101	electrodoméstico	n
8771	101	albanês	j
8781	101	mutuário	n
8791	101	recíproco	j
8801	101	ópio	n
8811	101	turba	n
8821	101	regressão	n
8831	100	congelar	v
8841	100	iene	n
8851	100	caldeirão	n
8861	100	hotelaria	n
8871	100	estande	n
8881	99	médica	j
8891	99	picado	n
8901	99	lançado	j
8911	99	amparado	j
8921	99	apaixonado	j
8931	99	sérvia	n
8941	98	sintaxe	n
8951	98	band	n
8961	98	fina	n
8971	98	magno	j
8981	98	merenda	n
8991	97	intento	n
9001	97	meda	n
9011	97	cárcere	n
9021	97	nasal	n
9031	97	anfitrião	n
9041	97	encruzilhada	n
9051	96	feder	v
9061	96	entrave	n
9071	96	desgastar	v
9081	96	traseira	j
9091	96	cheiroso	j
9101	96	espalmado	j
9111	96	magistério	n
9121	95	alegremente	r
9131	95	censo	n
9141	95	plácido	j
9151	95	leiriense	j
9161	95	restritivo	j
9171	95	despejo	n
9181	95	talha	n
9191	94	peemedebista	j
9201	94	inevitavelmente	r
9211	94	era	n
9221	94	provisão	n
9231	94	sultão	n
9241	94	cinturão	n
9251	93	entardecer	v
9261	93	dizer	n
9271	93	tirano	n
9281	93	impressionado	j
9291	93	charco	n
9301	93	estadia	n
9311	92	predominância	n
9321	92	oásis	n
9331	92	impossibilitar	v
9341	92	trilogia	n
9351	92	vesícula	n
9361	92	manchado	j
9371	91	batida	n
9381	91	anfíbio	n
9391	91	misturado	j
9401	91	decair	v
9411	91	encantamento	n
9421	91	mó	n
9431	91	apreço	n
9441	90	senha	n
9451	90	prefácio	n
9461	90	contágio	n
9471	90	ofertar	v
9481	90	sale	n
9491	90	familiaridade	n
9501	90	negrume	n
9511	89	bondoso	j
9521	89	anexado	n
9531	89	litorâneo	j
9541	89	condicionamento	n
9551	89	tomador	n
9561	89	ebulição	n
9571	89	western	n
9581	89	catarata	n
9591	88	solúvel	j
9601	88	contundente	j
9611	88	encarnar	v
9621	88	jacaré	n
9631	88	classificador	n
9641	88	génese	n
9651	87	pasmado	j
9661	87	metodológico	j
9671	87	viril	j
9681	87	porteira	n
9691	87	faísca	n
9701	87	presépio	n
9711	86	despegar	v
9721	86	bofetada	n
9731	86	fiado	n
9741	86	reposteiro	n
9751	86	agendado	j
9761	86	irreal	j
9771	86	carismático	j
9781	86	esbranquiçado	n
9791	85	foder	v
9801	85	banha	n
9811	85	fatalmente	r
9821	85	rodagem	n
9831	85	idem	r
9841	85	torácico	j
9851	85	agropecuária	n
9861	85	calmamente	r
9871	85	ressonar	v
9881	84	baço	j
9891	84	sapo	n
9901	84	canalizar	v
9911	84	aflito	n
9921	84	forçosamente	r
9931	84	penitenciária	n
9941	84	radiografia	n
9951	83	arredondado	n
9961	83	recato	n
9971	83	amarrado	j
9981	83	zumbido	n
9991	83	colonizado	n
10001	83	embutido	j
10011	83	obstrução	n
10021	82	munícipe	n
10031	82	manobrar	v
10041	82	congressista	n
10051	82	irreverente	j
10061	82	cancioneiro	n
10071	82	etrusco	n
10081	82	remar	v
10091	81	escrutínio	n
10101	81	gaita	n
10111	81	guru	n
10121	81	mandamento	n
10131	81	gracioso	j
10141	81	odioso	j
10151	81	maçã	j
10161	80	excepcionalmente	r
10171	80	legalização	n
10181	80	pincel	n
10191	80	avestruz	n
10201	80	czar	n
10211	80	caju	n
10221	80	sarcástico	j
10231	80	salutar	j
10241	80	homogéneo	j
10251	80	nervura	n
10261	79	tónica	n
10271	79	codificado	j
10281	79	segregar	v
10291	79	apartheid	n
10301	79	kelvin	n
10311	79	arrumação	n
10321	79	víscera	n
10331	79	causalidade	n
10341	79	radioactividade	n
10351	79	macabro	j
10361	78	pantanal	n
10371	78	avaria	n
10381	78	pesadamente	r
10391	78	minúcia	n
10401	78	esquadrão	n
10411	78	celeiro	n
10421	78	anfiteatro	n
10431	78	desprovido	n
10441	77	anais	n
10451	77	primazia	n
10461	77	insustentável	j
10471	77	amigável	j
10481	77	cereja	n
10491	77	cupim	n
10501	77	arquivar	v
10511	76	fantoche	n
10521	76	coroado	n
10531	76	felicitar	v
10541	76	desenterrar	v
10551	76	irresponsabilidade	n
10561	76	papelada	n
10571	76	enriquecimento	n
10581	76	carona	n
10591	76	venerável	n
10601	75	transformado	j
10611	75	nostálgico	j
10621	75	molar	n
10631	75	topográfico	j
10641	75	apagado	j
10651	75	vitalício	j
10661	75	condómino	n
10671	75	opulento	j
10681	75	quartel-general	n
10691	75	derivação	n
10701	74	contorcer	v
10711	74	lembrado	j
10721	74	paternidade	n
10731	74	frustrar	v
10741	74	paquerar	v
10751	74	magazine	n
